team_abv,arena_name,arena_capacity,city,state_province
ANA,Honda Center,17174,Anaheim,CA
BOS,TD Garden,17565,Boston,MA
BUF,KeyBank Center,19070,Buffalo,NY
CGY,Scotiabank Saddledome,19289,Calgary,AB
CAR,Lenovo Center,18680,Raleigh,NC
CHI,United Center,19717,Chicago,IL
COL,Ball Arena,18007,Denver,CO
CBJ,Nationwide Arena,18500,Columbus,OH
DAL,American Airlines Center,18532,Dallas,TX
DET,Little Caesars Arena,19515,Detroit,MI
EDM,Rogers Place,18347,Edmonton,AB
FLA,Amerant Bank Arena,19250,Sunrise,FL
LAK,Crypto.com Arena,18230,Los Angeles,CA
MIN,Grand Casino Arena,17954,St. Paul,MN
MTL,Bell Centre,21302,Montreal,QC
NSH,Bridgestone Arena,17113,Nashville,TN
NJD,Prudential Center,16514,Newark,NJ
NYI,UBS Arena,17255,Elmont,NY
NYR,Madison Square Garden,18006,New York,NY
OTT,Canadian Tire Centre,18652,Ottawa,ON
PHI,Xfinity Mobile Arena,19543,Philadelphia,PA
PIT,PPG Paints Arena,18387,Pittsburgh,PA
SJS,SAP Center,17562,San Jose,CA
SEA,Climate Pledge Arena,17100,Seattle,WA
STL,Enterprise Center,18096,St. Louis,MO
TBL,Benchmark International Arena,19092,Tampa,FL
TOR,Scotiabank Arena,18819,Toronto,ON
UTA,Delta Center,16605,Salt Lake City,UT
VAN,Rogers Arena,18910,Vancouver,BC
VGK,T-Mobile Arena,17500,Las Vegas,NV
WSH,Capital One Arena,18573,Washington,DC
WPG,Canada Life Centre,15321,Winnipeg,MB
ARI,Mullett Arena,4600,Tempe,AZ
