team_abv,primary_color,secondary_color
ANA,#F47A38,#B9975B
BOS,#FFB81C,#000000
BUF,#002654,#FCB514
CGY,#C8102E,#F1BE48
CAR,#CE1126,#000000
CHI,#CF0A2C,#000000
COL,#6F263D,#236192
CBJ,#002654,#CE1126
DAL,#006847,#8F8F8C
DET,#CE1126,#FFFFFF
EDM,#FF4C00,#041E42
FLA,#041E42,#C8102E
LAK,#111111,#A2AAAD
MIN,#A6192E,#154734
MTL,#AF1E2D,#192168
NSH,#FFB81C,#041E42
NJD,#CE1126,#000000
NYI,#00539B,#F47D30
NYR,#0038A8,#CE1126
OTT,#C52032,#C2912C
PHI,#F74902,#000000
PIT,#000000,#FCB514
SJS,#006D75,#EA7200
SEA,#001628,#99D9D9
STL,#002F87,#FCB514
TBL,#002868,#FFFFFF
TOR,#00205B,#FFFFFF
UTA,#71AFE5,#090909
VAN,#00205B,#00843D
VGK,#B4975A,#333F42
WSH,#C8102E,#041E42
WPG,#041E42,#004C97
